mbs;postupak;datum_stecaja
10038281;1;
10038304;1;
10038312;1;
10038361;1;
10038511;2;2017-11-15T23:00:00Z
10038538;1;
10038691;1;
10038747;1;
10038827;3;
10038835;1;
10038843;1;
10038878;1;
10038894;1;
10038909;1;
10038933;1;
10038992;1;
10039057;1;
10039065;1;
10039112;1;
10039153;1;
10039161;2;2018-10-23T22:00:00Z
10039231;1;
10039303;1;
10039362;1;
10039379;1;
10039395;1;
10039434;1;
10039475;1;
10039514;1;
10039539;1;
10039563;1;
10039643;1;
10039678;1;
10039694;1;
10039709;1;
10039725;1;
10039733;1;
10039750;5;
10039768;1;
10039776;1;
10039848;1;
10039936;1;
10039969;1;
10039977;1;
10040017;7;
10040084;5;
10040105;1;
10040148;1;
10040228;1;
10040349;1;
10040373;5;
10040381;1;
10040445;1;
10040488;1;
10040507;1;
10040531;1;
10040558;1;
10040582;1;
10040654;1;
10040662;1;
10040687;1;
10040700;1;
10040767;1;
10040775;1;
10040791;1;
10040814;1;
10040822;1;
10040839;1;
10040863;1;
10040880;1;
10040943;1;
10040960;1;
10040994;1;
10041001;1;
10041010;1;
10041028;3;
10041069;5;
10041077;1;
10041165;1;
10041173;1;
10041181;1;
10041212;2;2019-09-16T22:00:00Z
10041237;1;
10041245;1;
10041288;1;
10041340;1;
10041366;1;
10041399;1;
10041403;1;
10041454;1;
10041500;1;
10041518;2;2016-12-19T23:00:00Z
10041567;1;
10041575;1;
10041614;1;
10041698;1;
10041719;1;
10041735;1;
10041743;1;
10041751;1;
10041786;1;
10041794;1;
10041809;2;
10041825;1;
10041850;1;
10041868;1;
10041876;1;
10041892;1;
10041905;1;
10041913;1;
10041921;1;
10041964;1;
10041989;1;
10042012;1;
10042053;1;
10042061;1;
10042088;1;
10042140;1;
10042158;1;
10042174;1;
10042220;1;
10042359;1;
10042375;1;
10042383;1;
10042391;1;
10042406;1;
10042447;1;
10042480;1;
10042519;1;
10042543;1;
10042560;1;
10042578;1;
10042609;1;
10042692;1;
10042756;1;
10042772;1;
10042801;1;
10042893;1;
10042924;1;
10042932;2;2019-12-16T23:00:00Z
10043099;1;
10043226;1;
10043242;1;
10043259;1;
10043306;1;
10043347;1;
10043380;1;
10043398;1;
10043435;1;
10043478;3;
10043517;1;
10043541;1;
10043584;1;
10043621;1;
10043656;1;
10043689;1;
10043697;1;
10043701;1;
10043710;1;
10043728;1;
10043816;1;
10043832;1;
10043857;1;
10043865;1;
10043873;1;
10043881;1;
10043929;1;
10043937;1;
10043953;1;
10043996;5;
10044026;1;
10044059;1;
10044091;1;
10044114;1;
10044139;1;
10044147;1;
10044155;1;
10044219;1;
10044243;1;
10044278;1;
10044294;1;
10044325;1;
10044341;1;
10044405;1;
10044430;1;
10044456;1;
10044497;1;
10044528;1;
10044536;1;
10044577;1;
10044593;1;
10044673;1;
10044681;1;
10044704;1;
10044770;5;
10044831;1;
10044899;1;
10044903;1;
10044946;1;
10044954;1;
10044979;1;
10045019;1;
10045035;1;
10045043;1;
10045078;1;
10045094;1;
10045109;1;
10045168;1;
10045176;1;
10045248;1;
10045264;1;
10045272;1;
10045310;2;2018-10-10T22:00:00Z
10045344;1;
10045377;1;
10045385;1;
10045424;1;
10045465;1;
10045473;1;
10045481;1;
10045504;1;
10045537;1;
10045545;1;
10045553;1;
10045588;1;
10045596;1;
10045623;1;
10045631;1;
10045658;1;
10045682;1;
10045703;1;
10045720;1;
10045795;1;
10045800;1;
10045834;5;
10045842;1;
10045859;1;
10045883;1;
10045939;1;
10045980;1;
10046013;1;
10046048;1;
10046064;1;
10046097;1;
10046110;1;
10046128;1;
10046169;1;
10046177;1;
10046193;1;
10046224;1;
10046304;1;
10046329;1;
10046337;1;
10046415;1;
10046466;1;
10046499;1;
10046503;1;
10046511;1;
10046520;1;
10046562;1;
10046587;1;
10046659;1;
10046683;1;
10046747;1;
10046763;1;
10046780;2;2016-03-29T22:00:00Z
10046851;1;
